tweets,clean_tweets,sentiment,score
"RT @kumarmanish9: #CristianoRonaldo in 
#EURO2020 press conference removed #CocaCola bottles from the front, lifted the water bottle💧 &amp; sai…",rt cristianoronaldo euro2020 pss confence moved cocacola bottles front lifted water bottle amp,neutral,0.0
@Capt_Scarlett We want Coca-Cola to produce 100% of their plastic bottles from recycled material 🥤 Find out more ab… https://t.co/fSWgfUcByt,cocacola produce 100 plastic bottles cycled material find mo ab,neutral,0.0
"@narendramodi @VivaTech Remember #HrithikRoshan 's old #CocaCola advertisement?

Full Video Link here👇… https://t.co/RJdcJE6Dh6",member hrithikroshan old cocacola advertisement full video link,positive,0.22499999999999998
"RT @socios: Time to settle this debate.

❤️Like for #CocaCola 
🔁Retweet for #Water https://t.co/MDJZHE7tLu",rt time settle debate like cocacola tweet water,neutral,0.0
RT @alok_aarav7: Cristiano Ronaldo moved these two bottles of Coca Cola aside which was kept in front of him in the press meet. He advised…,rt cristiano ronaldo moved two bottles coca cola aside kept front pss meet advised,neutral,0.0
"Never give #CocaCola to #CristianoRonaldo !!!
https://t.co/rivEkkin3z",never give cocacola cristianoronaldo,neutral,0.0
"RT @DuoDiscoveries: Check out Vintage 1942 Two Girls at Car Roadster Coca-Cola Tray Original Coke Serving Tray  
https://t.co/gZKCxpHXaQ
#C…",rt check vintage 1942 two girls car roadster cocacola tray original coke serving tray,neutral,0.0
"RT @Ola_woyin: If you're seeing this don't hesitate to retweet my clients are definitely your TL.. 😉😉
#CocaCola https://t.co/akbHH8jiFq",rt seeing dont hesitate tweet clients definitely tl cocacola,neutral,0.0
"RT @BenjaminEnfield: Cristiano Ronaldo has cost Coca-Cola around £2.04M after moving them in his press conference.

“Drink water” he said.…",rt cristiano ronaldo cost cocacola around 204m moving pss confence drink water said,neutral,0.0
@AlekseyIvanovi8 We want Coca-Cola to produce 100% of their plastic bottles from recycled material 🥤 Find out more… https://t.co/hJVDDIfRET,cocacola produce 100 plastic bottles cycled material find mo,neutral,0.0
@GumboLimboNC We want Coca-Cola to produce 100% of their plastic bottles from recycled material 🥤 Find out more abo… https://t.co/806sstCEBs,cocacola produce 100 plastic bottles cycled material find mo abo,neutral,0.0
"Any time is a good time to begin.
Never give up.💪🏻💪🏻
👌🏻💯💯👌🏻😎

#wikipedia #McDonald #CocaCola #KFC #Goodtimes… https://t.co/HkW9pnVWYr",time good time begin never give wikipedia mcdonald cocacola kfc goodtimes,positive,0.7
"Be like Ronaldo, drink water not coke #EURO2020 #CocaCola #CristianoRonaldo #CR7 https://t.co/Na64M2RPIo",like ronaldo drink water coke euro2020 cocacola cristianoronaldo cr7,neutral,0.0
RT @pradeep_reports: Cristiano Ronaldo moved these two bottles of Coca Cola aside which was kept in front of him in the press meet. He advi…,rt cristiano ronaldo moved two bottles coca cola aside kept front pss meet advi,neutral,0.0
RT @parfrin: @Juezcentral #CristianoRonaldo #Drinkwater instead #coke #CocaCola https://t.co/kAuFjBvxw1,rt cristianoronaldo drinkwater instead coke cocacola,neutral,0.0
Cristiano Ronaldo moved these two bottles of Coca Cola aside which was kept in front of him in the press meet. He a… https://t.co/hXvzWSnpcg,cristiano ronaldo moved two bottles coca cola aside kept front pss meet,neutral,0.0
