tweets,clean_tweets,sentiment,score
#2nd #Curiosity North Korea and Cuba are the only places  where you can't buy #CocaCola,2nd curiosity north koa cuba places whe cant buy cocacola,neutral,0.0
Pumpkin cake+pretzels salt+coke😋 #pumpkincake #pretzels #cocacola #foodtime #foodblog #foodlover #foodstagram… https://t.co/OwXJ0YATgW,pumpkin cakeptzels saltcoke pumpkincake ptzels cocacola foodtime foodblog foodlover foodstagram,neutral,0.0
"Vintage Coca Cola Stained Glass Round Sign Wall Window Hanging Suncatcher 4.5"" | #eBay #cocacola… https://t.co/BzDlTgBVOB",vintage coca cola stained glass round sign wall window hanging suncatcher 45 ebay cocacola,negative,-0.2
1999 Georgia Green 64 oz Coca Cola Indiana Glass Pitcher #Coke Original Label | #eBay #cocacola #IndianaGlass… https://t.co/pXgBEU7gk1,1999 georgia gen 64 oz coca cola indiana glass pitcher coke original label ebay cocacola indianaglass,neutral,0.0
Coca-Cola is so proud to be a sponsor of Atlanta Braves baseball that they moved the all-star game out of GA. Isn’t… https://t.co/NCNxP8jA1j,cocacola proud sponsor atlanta braves baseball moved allstar game isnt,positive,0.4000000000000001
Thank you @jack. I'd cook special Nigerian #JollyRice  for you and buy chilled #CocaCola for you #KeepitOn https://t.co/5JQXrTZUjC,thank id cook special nigerian jollyrice buy chilled cocacola keepiton,positive,0.35714285714285715
"RT @IgorBeuker: Have a Coke and a smile? 
Between purpose-driven brand leadership, Hollywood purpose bullshit marketing, and being banned a…",rt coke smile purposedriven brand leadership hollywood purpose bullshit marketing banned,positive,0.3
"Have a Coke and a smile? 
Between purpose-driven brand leadership, Hollywood purpose bullshit marketing, and being… https://t.co/cHjhVcrORm",coke smile purposedriven brand leadership hollywood purpose bullshit marketing,positive,0.3
"Coca Cola 75th Anniversary Belt Buckle https://t.co/B4tOUH6gDF via @Etsy

#OnSale - 20% Off and #FreeShipping thru… https://t.co/JGzLeTw0Qu",coca cola 75th anniversary belt buckle via onsale 20 feshipping thru,neutral,0.0
NOT THE REAL THING: #SurryCounty #NorthCarolina bans #CocaCola products from county facilities after company critic… https://t.co/NcG30g8Sq5,thing surrycounty northcarolina bans cocacola products county facilities company critic,neutral,0.0
"Listen to Part II of ""Stone Mountain: Now and Future"" on Not Your Little Lady, a podcast where Allison features ""wo… https://t.co/Wxfo2T2gsi",listen part stone mountain futu little lady podcast whe allison featus,neutral,0.0
"RT @SmittyD9199: Coca Cola Santa Coke Heavy Mug Glass Stein Vending Machine #Vintage #Christmas | #eBay #cocacola 
https://t.co/d7bob6LJMq…",rt coca cola santa coke heavy mug glass stein vending machine vintage christmas ebay cocacola,neutral,0.0
#CocaCola vending machines have been removed from a North Carolina county's offices over its CEO's stance on a Geor… https://t.co/yZppSVnbkE,cocacola vending machines moved north carolina countys offices ceos stance geor,neutral,0.0
"#G7 #Olafscholz 

BAN/BOYCOTT Big Tech #SiliconValley #twitter #facebook #google #CocaCola 
ALL violent propaganda… https://t.co/3iBcYEKaXd",g7 olafscholz banboycott big tech siliconvalley twitter facebook google cocacola violent propaganda,negative,-0.3
"RT @SmittyD9199: Vintage Coca Cola Stained Glass Round Sign Wall Window Hanging Suncatcher 4.5"" | eBay #cocacola 
https://t.co/jUmgBEVNHS
(…",rt vintage coca cola stained glass round sign wall window hanging suncatcher 45 ebay cocacola,negative,-0.2
"Old school coca cola arcade, now with less cocaine. Designed by @Luminauts

#CocaCola
#arcade #arcade1up #Retro https://t.co/U75KTa9T4h",old school coca cola arcade less cocaine designed cocacola arcade arcade1up tro,negative,-0.033333333333333326
#PracticeYourChinese! 'Hello' in #Chinese is 'Ni Hao' (pronounced knee-HOW). It means 'HOW would you like me to ben… https://t.co/y1rqiIIA5k,practiceyourchinese hello chinese hao pronounced kneehow means would like,negative,-0.3125
"""Olympics Gave Hope to Japan’s L.G.B.T.Q. Activists. But Old Prejudices Die Hard."" by Motoko Rich and Hikari Hida v… https://t.co/rBmKKSBHrX",olympics gave hope japans lgbtq activists old pjudices hard motoko rich hikari hida,positive,0.06111111111111111
@tedcruz I guess I’ll add that company to the list I am already boycotting. #amazon. #CocaCola #NorthFace #thelistcontinuestogrow,guess add company list alady boycotting amazon cocacola northface thelistcontinuestogrow,neutral,0.0
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/G8Ag3fmK8X,good sha check items loving poshmark fashion style shopmycloset,positive,0.6
"Check out Large Vintage 1950's Coca Cola Bottle Soda Pop Gas Station 61x25.5"" Metal Sign #CocaCola https://t.co/qQwvtr3pmf via @eBay",check large vintage 1950s coca cola bottle soda pop gas station 61x255 metal sign cocacola via,neutral,0.0
"RT @tijdvooreten: @jaapseidell Let's raise awareness about the fact that the Epode👇🏼 international network and JOGG👇🏼 are already for many,…",rt lets raise awaness fact epode international network jogg alady many,neutral,0.0
North Carolina county banning #CocaCola machines because the company criticised the voting law shenanigans is like… https://t.co/9rhgSLRa7g,north carolina county banning cocacola machines company criticised voting law shenanigans like,neutral,0.0
"RT @PinkCerberus: #NorthCarolina county bans #CocaCola vending machines because the company is too #left 
https://t.co/PsqG12TItj",rt northcarolina county bans cocacola vending machines company left,neutral,0.0
"#NorthCarolina county bans #CocaCola vending machines because the company is too #left 
https://t.co/PsqG12TItj",northcarolina county bans cocacola vending machines company left,neutral,0.0
